id,price,year_to_market,added_on,updated_at,cutoff_time
abc,100,1990,01/30/2019,2019-11-17 12:43:01 -0500,17:00
def,300,2019,3/30/2019,2019-11-17 12:43:01 -0500,00:00
ghi,750,2018,2/2/2019,2019-11-17 12:43:01 -0500,09:00
wer,100,2019,3/14/2019,2019-11-17 12:43:01 -0500,09:30
tre,300,2019,03/1/2019,2019-11-17 12:43:01 -0500,18:00
qqq,750,2019,3/30/2019,2019-11-17 12:43:01 -0500,17:00
aaa,100,2017,01/30/2019,2019-11-17 12:43:01 -0500,17:00
wdl,300,1999,01/30/2019,2019-11-17 12:43:01 -0500,17:00
plo,750,1999,01/30/2019,2019-11-17 12:43:01 -0500,17:00
oil,100,1999,04/30/2019,2019-11-17 12:43:01 -0500,17:00
tyh,300,1999,5/30/2019,2019-11-17 12:43:01 -0500,17:00
hnb,750,1999,5/30/2019,2019-11-17 12:43:01 -0500,17:00
